相対グループ,側,対向平均相関,対向強度,テーマ,コード,銘柄名
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,285A,キオクシアホールディングス
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,3132,マクニカホールディングス
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,3436,ＳＵＭＣＯ
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,4004,レゾナック・ホールディングス
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,4062,イビデン
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,4063,信越化学工業
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,4186,東京応化工業
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,4980,デクセリアルズ
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,5344,ＭＡＲＵＷＡ
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6146,ディスコ
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6526,ソシオネクスト
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6723,ルネサスエレクトロニクス
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6724,セイコーエプソン
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6728,アルバック
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6762,ＴＤＫ
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6806,ヒロセ電機
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6856,堀場製作所
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6857,アドバンテスト
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6920,レーザーテック
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6963,ローム
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6965,浜松ホトニクス
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6971,京セラ
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6976,太陽誘電
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6981,村田製作所
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,6988,日東電工
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,7729,東京精密
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,7731,ニコン
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,7735,ＳＣＲＥＥＮホールディングス
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,7911,ＴＯＰＰＡＮホールディングス
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,7912,大日本印刷
相対グループ1,A,-0.54,強い対向,半導体・AIデータセンター・電子部品,8035,東京エレクトロン
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,3659,ネクソン
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,4324,電通グループ
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,4676,フジ・メディア・ホールディングス
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,4751,サイバーエージェント
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,6460,セガサミーホールディングス
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,6758,ソニーグループ
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,7832,バンダイナムコホールディングス
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,7867,タカラトミー
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,7951,ヤマハ
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,7974,任天堂
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,8136,サンリオ
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,9401,ＴＢＳホールディングス
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,9404,日本テレビホールディングス
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,9468,ＫＡＤＯＫＡＷＡ
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,9684,スクウェア・エニックス・ホールディングス
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,9697,カプコン
相対グループ1,B,-0.54,強い対向,コンテンツ・IP・ゲーム・メディア・広告,9766,コナミグループ
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,2371,カカクコム
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,3626,ＴＩＳＩ
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,3774,インターネットイニシアティブ
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,4307,野村総合研究所
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,4684,オービック
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,4689,ＬＩＮＥヤフー
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,4704,トレンドマイクロ
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,4716,日本オラクル
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,4755,楽天グループ
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,6501,日立製作所
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,6532,ベイカレント
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,6701,日本電気
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,6702,富士通
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,8056,ＢＩＰＲＯＧＹ
相対グループ2,A,-0.36,中程度の対向,生成AI・DX・クラウド・サイバーセキュリティ,9984,ソフトバンクグループ
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,3402,東レ
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,3405,クラレ
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,3407,旭化成
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,3861,王子ホールディングス
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,4005,住友化学
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,4021,日産化学
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,4042,東ソー
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,4182,三菱瓦斯化学
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,4183,三井化学
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,4188,三菱ケミカルグループ
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,4202,ダイセル
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,4403,日油
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,4612,日本ペイントホールディングス
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,4613,関西ペイント
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,5201,ＡＧＣ
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,5333,ＮＧＫ
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,5401,日本製鉄
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,5406,神戸製鋼所
相対グループ2,B,-0.36,中程度の対向,高機能素材・脱炭素素材・循環経済,5411,ＪＦＥホールディングス
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,1801,大成建設
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,1802,大林組
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,1803,清水建設
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,1808,長谷工コーポレーション
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,1812,鹿島建設
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,1878,大東建託
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,1911,住友林業
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,1925,大和ハウス工業
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,1928,積水ハウス
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,1944,きんでん
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,3003,ヒューリック
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,3231,野村不動産ホールディングス
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,3288,オープンハウスグループ
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,3289,東急不動産ホールディングス
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,3291,飯田グループホールディングス
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,4204,積水化学工業
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,5233,太平洋セメント
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,5332,ＴＯＴＯ
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,5393,ニチアス
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,5929,三和ホールディングス
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,5938,ＬＩＸＩＬ
相対グループ2,B,-0.36,中程度の対向,インフラ更新・住宅・都市再開発・防災,5947,リンナイ
